,name,married,divorced,separated,annulled
777,Anna_Faris,3,2,0,0
778,Hattie_McDaniel,4,2,0,0
779,Famke_Janssen,1,1,0,0
780,Rosamund_Pike,0,0,0,0
781,Bonnie_Hunt,1,1,0,0
782,Leslie_Mann,1,0,0,0
783,Mindy_Kaling,0,0,0,0
784,Thandiwe_Newton,1,0,0,0
785,Amy_Poehler,1,1,0,0
786,Amanda_Peet,1,0,0,0
787,Julia_Stiles,1,0,0,0
788,Maria_Bello,0,0,0,0
789,Eva_Mendes,0,0,0,0
790,Emily_Blunt,1,0,0,0
791,Rose_Byrne,0,0,0,0
792,Ashley_Judd,1,1,0,0
793,Emilia_Clarke,0,0,0,0
794,Christina_Applegate,2,1,0,0
795,Nia_Long,0,0,0,0
796,Felicity_Jones,1,0,0,0
797,Téa_Leoni,2,2,0,0
798,Alexandra_Daddario,0,0,0,0
799,Jena_Malone,0,0,0,0
800,Richard_Gere,3,2,0,0
801,Nick_Frost,1,1,0,0
802,Ray_Liotta,1,1,0,0
803,Chris_Rock,1,1,0,0
804,Jon_Hamm,0,0,0,0
805,Neil_Patrick_Harris,1,0,0,0
806,Charlie_Sheen,3,3,0,0
807,Mark_Rylance,1,0,0,0
808,Andy_Garcia,1,0,0,0
809,Michael_Lerner,0,0,0,0
810,Graham_Greene,1,0,1,0
811,Bruce_Davison,3,1,0,1
812,Dan_Aykroyd,1,0,0,0
813,Danny_Aiello,1,0,0,0
814,River_Phoenix,0,0,0,0
815,Dean_Stockwell,2,2,0,0
816,Billy_Crystal,1,0,0,0
817,John_Goodman,1,0,0,0
818,Orlando_Bloom,1,1,0,0
819,Stellan_Skarsgård,1,1,0,0
820,Alexander_Skarsgård,0,0,0,0
821,Mike_Myers,2,1,0,0
822,Tyrese_Gibson,2,1,0,0
823,Elijah_Wood,0,0,0,0
824,Danny_DeVito,1,0,1,0
825,Susan_Hayward,2,1,0,0
826,Michelle_Rodriguez,0,0,0,0
827,Sarah_Michelle_Gellar,1,0,0,0
828,Sandra_Oh,1,1,0,0
