,rank,name,imdb_stub_link,imdb_full_link
98,699.,Robin Weigert,/name/nm0917848,https://www.imdb.com/name/nm0917848
99,700.,Lake Bell,/name/nm1128572,https://www.imdb.com/name/nm1128572
0,701.,Claude Rains,/name/nm0001647,https://www.imdb.com/name/nm0001647
1,702.,Steve Buscemi,/name/nm0000114,https://www.imdb.com/name/nm0000114
2,703.,John Rhys-Davies,/name/nm0722636,https://www.imdb.com/name/nm0722636
3,704.,Jean-Louis Trintignant,/name/nm0004462,https://www.imdb.com/name/nm0004462
4,705.,Joseph Cotten,/name/nm0001072,https://www.imdb.com/name/nm0001072
5,706.,Barry Pepper,/name/nm0001608,https://www.imdb.com/name/nm0001608
6,707.,Erich von Stroheim,/name/nm0002233,https://www.imdb.com/name/nm0002233
7,708.,Patrick Wilson,/name/nm0933940,https://www.imdb.com/name/nm0933940
8,709.,Christopher Lloyd,/name/nm0000502,https://www.imdb.com/name/nm0000502
9,710.,Ben Foster,/name/nm0004936,https://www.imdb.com/name/nm0004936
10,711.,Joel McCrea,/name/nm0566948,https://www.imdb.com/name/nm0566948
11,712.,Choi Min-sik,/name/nm0158856,https://www.imdb.com/name/nm0158856
12,713.,Ewan McGregor,/name/nm0000191,https://www.imdb.com/name/nm0000191
13,714.,Gael García Bernal,/name/nm0305558,https://www.imdb.com/name/nm0305558
14,715.,Bruno Ganz,/name/nm0004486,https://www.imdb.com/name/nm0004486
15,716.,Sean Astin,/name/nm0000276,https://www.imdb.com/name/nm0000276
16,717.,Irrfan Khan,/name/nm0451234,https://www.imdb.com/name/nm0451234
17,718.,Michael C. Hall,/name/nm0355910,https://www.imdb.com/name/nm0355910
18,719.,Roy Scheider,/name/nm0001702,https://www.imdb.com/name/nm0001702
19,720.,Casey Affleck,/name/nm0000729,https://www.imdb.com/name/nm0000729
20,721.,Gary Busey,/name/nm0000997,https://www.imdb.com/name/nm0000997
21,722.,Norman Reedus,/name/nm0005342,https://www.imdb.com/name/nm0005342
22,723.,Jeff Daniels,/name/nm0001099,https://www.imdb.com/name/nm0001099
23,724.,Stanley Tucci,/name/nm0001804,https://www.imdb.com/name/nm0001804
24,725.,Kiefer Sutherland,/name/nm0000662,https://www.imdb.com/name/nm0000662
25,726.,Michelle Yeoh,/name/nm0000706,https://www.imdb.com/name/nm0000706
26,727.,Léa Seydoux,/name/nm2244205,https://www.imdb.com/name/nm2244205
27,728.,Dakota Johnson,/name/nm0424848,https://www.imdb.com/name/nm0424848
28,729.,Julie Delpy,/name/nm0000365,https://www.imdb.com/name/nm0000365
29,730.,Linda Hamilton,/name/nm0000157,https://www.imdb.com/name/nm0000157
30,731.,Carrie Fisher,/name/nm0000402,https://www.imdb.com/name/nm0000402
31,732.,Pam Grier,/name/nm0000427,https://www.imdb.com/name/nm0000427
32,733.,Björk,/name/nm0001951,https://www.imdb.com/name/nm0001951
33,734.,Emily Browning,/name/nm0115161,https://www.imdb.com/name/nm0115161
34,735.,Juliette Lewis,/name/nm0000496,https://www.imdb.com/name/nm0000496
35,736.,Sarah Jessica Parker,/name/nm0000572,https://www.imdb.com/name/nm0000572
36,737.,Piper Laurie,/name/nm0001453,https://www.imdb.com/name/nm0001453
37,738.,Miley Cyrus,/name/nm1415323,https://www.imdb.com/name/nm1415323
38,739.,Lily Tomlin,/name/nm0005499,https://www.imdb.com/name/nm0005499
39,740.,Jane Seymour,/name/nm0005412,https://www.imdb.com/name/nm0005412
40,741.,Gloria Stuart,/name/nm0001784,https://www.imdb.com/name/nm0001784
41,742.,Talia Shire,/name/nm0001735,https://www.imdb.com/name/nm0001735
42,743.,Gal Gadot,/name/nm2933757,https://www.imdb.com/name/nm2933757
43,744.,Sue Lyon,/name/nm0528987,https://www.imdb.com/name/nm0528987
44,745.,Olivia Newton-John,/name/nm0000556,https://www.imdb.com/name/nm0000556
45,746.,Minnie Driver,/name/nm0000378,https://www.imdb.com/name/nm0000378
46,747.,Teri Garr,/name/nm0000414,https://www.imdb.com/name/nm0000414
47,748.,Keri Russell,/name/nm0005392,https://www.imdb.com/name/nm0005392
48,749.,Jean Seberg,/name/nm0781029,https://www.imdb.com/name/nm0781029
49,750.,Sarah Polley,/name/nm0001631,https://www.imdb.com/name/nm0001631
50,751.,Josh Brolin,/name/nm0000982,https://www.imdb.com/name/nm0000982
51,752.,Hal Holbrook,/name/nm0001358,https://www.imdb.com/name/nm0001358
52,753.,Djimon Hounsou,/name/nm0005023,https://www.imdb.com/name/nm0005023
53,754.,Matt Dillon,/name/nm0000369,https://www.imdb.com/name/nm0000369
54,755.,Alan Alda,/name/nm0000257,https://www.imdb.com/name/nm0000257
55,756.,Thomas Haden Church,/name/nm0002006,https://www.imdb.com/name/nm0002006
56,757.,Clive Owen,/name/nm0654110,https://www.imdb.com/name/nm0654110
57,758.,Ken Watanabe,/name/nm0913822,https://www.imdb.com/name/nm0913822
58,759.,Suraj Sharma,/name/nm4139037,https://www.imdb.com/name/nm4139037
59,760.,John C. Reilly,/name/nm0000604,https://www.imdb.com/name/nm0000604
60,761.,Michael Clarke Duncan,/name/nm0003817,https://www.imdb.com/name/nm0003817
61,762.,Haley Joel Osment,/name/nm0005286,https://www.imdb.com/name/nm0005286
62,763.,Greg Kinnear,/name/nm0001427,https://www.imdb.com/name/nm0001427
63,764.,Burt Reynolds,/name/nm0000608,https://www.imdb.com/name/nm0000608
64,765.,Robert Forster,/name/nm0001233,https://www.imdb.com/name/nm0001233
65,766.,Jason Schwartzman,/name/nm0005403,https://www.imdb.com/name/nm0005403
66,767.,William H. Macy,/name/nm0000513,https://www.imdb.com/name/nm0000513
67,768.,Armin Mueller-Stahl,/name/nm0000090,https://www.imdb.com/name/nm0000090
68,769.,Tim Roth,/name/nm0000619,https://www.imdb.com/name/nm0000619
69,770.,James Cromwell,/name/nm0000342,https://www.imdb.com/name/nm0000342
70,771.,Chazz Palminteri,/name/nm0001590,https://www.imdb.com/name/nm0001590
71,772.,Gary Sinise,/name/nm0000641,https://www.imdb.com/name/nm0000641
72,773.,Paul Scofield,/name/nm0006890,https://www.imdb.com/name/nm0006890
73,774.,Pete Postlethwaite,/name/nm0000592,https://www.imdb.com/name/nm0000592
74,775.,Hugo Weaving,/name/nm0915989,https://www.imdb.com/name/nm0915989
75,776.,Jada Pinkett Smith,/name/nm0000586,https://www.imdb.com/name/nm0000586
76,777.,Tatum O'Neal,/name/nm0001575,https://www.imdb.com/name/nm0001575
