,Unnamed: 0,rank,name,imdb_stub_link,imdb_full_link,wikipedia_url
512,12,513.,Taylor Kitsch,/name/nm2018237,https://www.imdb.com/name/nm2018237,https://en.wikipedia.org/wiki/Taylor_Kitsch
513,13,514.,Edward Norton,/name/nm0001570,https://www.imdb.com/name/nm0001570,https://en.wikipedia.org/wiki/Edward_Norton
514,14,515.,Guy Pearce,/name/nm0001602,https://www.imdb.com/name/nm0001602,https://en.wikipedia.org/wiki/Guy_Pearce
515,15,516.,Mark Ruffalo,/name/nm0749263,https://www.imdb.com/name/nm0749263,https://en.wikipedia.org/wiki/Mark_Ruffalo
516,16,517.,Mickey Rourke,/name/nm0000620,https://www.imdb.com/name/nm0000620,https://en.wikipedia.org/wiki/Mickey_Rourke
517,17,518.,Frank Langella,/name/nm0001449,https://www.imdb.com/name/nm0001449,https://en.wikipedia.org/wiki/Frank_Langella
518,18,519.,Eddie Redmayne,/name/nm1519666,https://www.imdb.com/name/nm1519666,https://en.wikipedia.org/wiki/Eddie_Redmayne
519,19,520.,David Strathairn,/name/nm0000657,https://www.imdb.com/name/nm0000657,https://en.wikipedia.org/wiki/David_Strathairn
520,20,521.,Terrence Howard,/name/nm0005024,https://www.imdb.com/name/nm0005024,https://en.wikipedia.org/wiki/Terrence_Howard
521,21,522.,Ralph Fiennes,/name/nm0000146,https://www.imdb.com/name/nm0000146,https://en.wikipedia.org/wiki/Ralph_Fiennes
522,22,523.,Tom Wilkinson,/name/nm0929489,https://www.imdb.com/name/nm0929489,https://en.wikipedia.org/wiki/Tom_Wilkinson
523,23,524.,Richard Farnsworth,/name/nm0002070,https://www.imdb.com/name/nm0002070,https://en.wikipedia.org/wiki/Richard_Farnsworth
524,24,525.,Nick Nolte,/name/nm0000560,https://www.imdb.com/name/nm0000560,https://en.wikipedia.org/wiki/Nick_Nolte
525,25,526.,AnnaSophia Robb,/name/nm1455681,https://www.imdb.com/name/nm1455681,https://en.wikipedia.org/wiki/AnnaSophia_Robb
526,26,527.,Gemma Arterton,/name/nm2605345,https://www.imdb.com/name/nm2605345,https://en.wikipedia.org/wiki/Gemma_Arterton
527,27,528.,Olivia Wilde,/name/nm1312575,https://www.imdb.com/name/nm1312575,https://en.wikipedia.org/wiki/Olivia_Wilde
528,28,529.,Isla Fisher,/name/nm0279545,https://www.imdb.com/name/nm0279545,https://en.wikipedia.org/wiki/Isla_Fisher
529,29,530.,Shailene Woodley,/name/nm0940362,https://www.imdb.com/name/nm0940362,https://en.wikipedia.org/wiki/Shailene_Woodley
530,30,531.,Rebel Wilson,/name/nm2313103,https://www.imdb.com/name/nm2313103,https://en.wikipedia.org/wiki/Rebel_Wilson
531,31,532.,Emma Roberts,/name/nm0731075,https://www.imdb.com/name/nm0731075,https://en.wikipedia.org/wiki/Emma_Roberts
532,32,533.,Amber Heard,/name/nm1720028,https://www.imdb.com/name/nm1720028,https://en.wikipedia.org/wiki/Amber_Heard
533,33,534.,Teresa Palmer,/name/nm1954240,https://www.imdb.com/name/nm1954240,https://en.wikipedia.org/wiki/Teresa_Palmer
534,34,535.,Saoirse Ronan,/name/nm1519680,https://www.imdb.com/name/nm1519680,https://en.wikipedia.org/wiki/Saoirse_Ronan
535,35,536.,Elizabeth Banks,/name/nm0006969,https://www.imdb.com/name/nm0006969,https://en.wikipedia.org/wiki/Elizabeth_Banks
536,36,537.,Ida Lupino,/name/nm0526946,https://www.imdb.com/name/nm0526946,https://en.wikipedia.org/wiki/Ida_Lupino
537,37,538.,Natalie Dormer,/name/nm1754059,https://www.imdb.com/name/nm1754059,https://en.wikipedia.org/wiki/Natalie_Dormer
538,38,539.,Brittany Snow,/name/nm0811242,https://www.imdb.com/name/nm0811242,https://en.wikipedia.org/wiki/Brittany_Snow
539,39,540.,Kate Mara,/name/nm0544718,https://www.imdb.com/name/nm0544718,https://en.wikipedia.org/wiki/Kate_Mara
540,40,541.,Julianne Hough,/name/nm2584600,https://www.imdb.com/name/nm2584600,https://en.wikipedia.org/wiki/Julianne_Hough
541,41,542.,Lily Collins,/name/nm2934314,https://www.imdb.com/name/nm2934314,https://en.wikipedia.org/wiki/Lily_Collins
542,42,543.,Cobie Smulders,/name/nm1130627,https://www.imdb.com/name/nm1130627,https://en.wikipedia.org/wiki/Cobie_Smulders
543,43,544.,Alice Eve,/name/nm1404408,https://www.imdb.com/name/nm1404408,https://en.wikipedia.org/wiki/Alice_Eve
544,44,545.,Jamie Chung,/name/nm1512166,https://www.imdb.com/name/nm1512166,https://en.wikipedia.org/wiki/Jamie_Chung
